Denmark (DEN),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
East Germany (GDR),0,0,0,0,0,0,0,10,9,7,5,3,2,0,0,0,0,0,0,0,0,0
Estonia (EST),0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Finland (FIN),3,1,6,2,4,1,1,1,3,5,4,4,2,4,3,3,4,3,2,1,1,4
France (FRA),4,3,2,5,1,1,5,0,1,0,0,1,3,4,0,0,0,1,0,0,0,0
Germany (GER),6,13,12,16,9,7,10,0,0,0,0,0,0,0,0,0,2,0,3,0,0,
Great Britain (GBR),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Hungary (HUN),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Italy (ITA),2,1,0,4,6,5,6,1,0,2,2,2,0,1,0,2,0,0,0,0,0,0
Japan (JPN),4,3,0,1,1,2,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,
Kazakhstan (KAZ),0,1,0,0,0,2,,,,,,,,,,,,,,,,
Latvia (LAT),2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein (LIE),0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,
Luxembourg (LUX),0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Netherlands (NED),7,1,2,5,4,1,1,2,0,2,2,3,3,1,1,0,3,0,0,0,0,
New Zealand (NZL),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
North Korea (PRK),0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,
Norway (NOR),5,8,8,5,10,11,6,3,2,3,3,5,6,6,3,1,3,3,5,4,4,7
Poland (POL),1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Romania (ROU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Russia (RUS),9,5,6,4,6,8,,,,,,,,,,,,,,,,
Slovakia (SVK),0,1,1,0,0,0,,,,,,,,,,,,,,,,
Slovenia (SLO),2,2,0,0,0,0,0,,,,,,,,,,,,,,,
South Korea (KOR),3,6,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,
